,lr,sample/sec
1,0.001,2663.708242290313
2,0.001,2743.0447866727054
3,0.001,2649.4410799592606
4,0.001,2585.8575786182128
5,0.001,2751.053077526875
6,0.001,2683.265623895211
7,0.001,2600.1034324442144
8,0.001,2656.3676727360394
9,0.001,2662.6894830074534
10,0.001,2590.91538519516
11,0.001,2671.2128865186355
12,0.001,2736.7509431663702
13,0.001,2636.08496018217
14,0.001,2743.403390847135
15,0.001,2781.525028433241
16,0.001,2817.6863971030175
17,0.001,2754.106500890988
18,0.001,2715.436596851986
19,0.001,2729.3817425246402
20,0.001,2787.3212593407807
21,0.001,2663.8057505541483
22,0.001,2462.4702356065864
23,0.001,2721.5014494727075
24,0.001,2753.8249347494325
25,0.001,2765.6500417772145
26,0.001,2717.455625041154
27,0.001,2764.139214907649
28,0.001,2665.5386873354523
29,0.001,2782.863351054116
30,0.001,2724.9391151815325
31,0.001,2802.2558811532313
32,0.001,2773.9517834398234
33,0.001,2664.1019194153973
34,0.001,2823.754160261302
35,0.001,2688.12865554277
36,0.001,2600.5980605808545
37,0.001,2773.7286031464587
38,0.0005,2735.3711713629627
39,0.0005,2695.6912253824626
40,0.0005,2510.051349388759
41,0.0005,2767.012946929389
42,0.0005,2766.999026343696
43,0.0005,2713.113331389436
44,0.0005,2732.4674088266947
45,0.0005,2779.0445703520613
46,0.0005,2721.69187271732
47,0.0005,2657.891391927401
48,0.0005,2594.133879026591
49,0.0005,2757.7254793310863
50,0.0005,2669.318001101627
51,0.0005,2674.297781984269
52,0.0005,2761.1080017021673
53,0.0005,2750.580820322076
54,0.0005,2796.102528646375
55,0.0005,2648.2810640288594
56,0.0005,2720.4545977409225
57,0.0005,2777.9921471500365
58,0.0005,2718.956785142513
59,0.0005,2628.06803329194
60,0.0005,2607.1589166437893
61,0.0005,2728.5992156167736
62,0.0005,2722.8885783627316
63,0.0005,2669.7042972305435
64,0.0005,2763.2329942875126
65,0.0005,2756.847881913496
66,0.0005,2748.6106731863388
67,0.0005,2715.692592325282
68,0.0005,2573.7359011777935
69,0.0005,2658.1990942789907
70,0.0005,2762.6532732300384
71,0.0005,2723.482151000317
72,0.0005,2696.554601353925
73,0.0005,2534.6779308538435
74,0.0005,2590.018190360827
75,0.0005,2621.36243012376
76,0.0005,2500.6769803114116
77,0.0005,2670.677161769781
78,0.0005,2653.3132646366553
79,0.0005,2737.808475189556
80,0.00025,2756.3260888776076
81,0.00025,2699.81668644252
82,0.00025,2611.5236545519783
83,0.00025,2705.3110919014016
84,0.00025,2761.476181246069
85,0.00025,2766.5688521780726
86,0.00025,2764.2400145769043
87,0.00025,2697.013100755429
88,0.00025,2727.578039871553
89,0.00025,2697.169967326029
90,0.00025,2524.608528223586
91,0.000125,2539.135976583005
92,0.000125,2639.3419077165745
93,0.000125,2778.1138662537173
94,0.000125,2800.518421549986
95,0.000125,2590.485437254397
96,0.000125,2736.7598106182036
97,0.000125,2554.3018655581295
98,0.000125,2685.752734727337
99,0.000125,2774.0074214379697
100,0.000125,2680.4012010919514
101,0.000125,2629.682252101909
102,6.25e-05,2738.729174079137
103,6.25e-05,2651.6190741212795
104,6.25e-05,2398.203122227106
105,6.25e-05,2650.963398209636
106,6.25e-05,2473.388328660738
107,6.25e-05,2771.685213908668
108,6.25e-05,2816.881277684336
109,6.25e-05,2753.7630492269714
110,6.25e-05,2796.911689139542
111,6.25e-05,2489.858170729928
112,6.25e-05,2737.4351725575066
113,3.125e-05,2680.583181556605
114,3.125e-05,2621.789029015145
115,3.125e-05,2696.001595942591
116,3.125e-05,2732.478142774629
117,3.125e-05,2796.1028592255075
118,3.125e-05,2736.9913347907263
119,3.125e-05,2713.878902936643
120,3.125e-05,2697.3170078552375
121,3.125e-05,2680.7730873501264
122,3.125e-05,2781.984737314848
123,3.125e-05,2716.080887070902
124,1.5625e-05,2731.3903388937906
125,1.5625e-05,2723.4928144706287
126,1.5625e-05,2802.828095027633
127,1.5625e-05,2662.3798411122393
128,1.5625e-05,2769.6078574876997
129,1.5625e-05,2807.5688732847084
130,1.5625e-05,2700.0934814615184
131,1.5625e-05,2514.8744455575816
132,1.5625e-05,2806.1041367197618
133,1.5625e-05,2719.79290473325
134,1.5625e-05,2757.3428681820096
135,7.8125e-06,2715.9377197002113
136,7.8125e-06,2643.1993777024345
137,7.8125e-06,2655.61392291858
138,7.8125e-06,2783.588199373881
139,7.8125e-06,2703.1830695022804
140,7.8125e-06,2701.3499439517777
141,7.8125e-06,2626.3615852470493
142,7.8125e-06,2601.8208565477044
143,7.8125e-06,2676.9776526128007
144,7.8125e-06,2727.273880454047
145,7.8125e-06,2803.7694516690535
146,3.90625e-06,2703.2235454998436
147,3.90625e-06,2700.5328328266273
148,3.90625e-06,2717.0035712805484
149,3.90625e-06,2670.847568913228
150,3.90625e-06,2675.097881435261
